--------- beginning of /dev/log/main
launcher
01-31 18:31:13.678  2177  2177 I ActivityManagerProxy: enter startActivity
01-31 18:31:14.519  1832  2243 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.529  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.529  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.539  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.539  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.559  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.559  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.569  1529  1625 I libblt_hw: Library closed (handle = 0, fd = 23)
01-31 18:31:14.599  3447  3447 D OpenGLRenderer: Enabling debug mode 0
01-31 18:31:14.709  1832  1832 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.709  1832  1832 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.709  1832  1900 I ActivityManager: Displayed com.example.android.apis/.ApiDemos: +901ms
01-31 18:31:14.719  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.719  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.729  3447  3447 V ActivityManagerProxy: enter activityIdle()
01-31 18:31:14.729  1832  2191 V ApplicationThreadProxy: enter scheduleStopActivity()
01-31 18:31:14.729  2177  2194 I ApplicationThreadNative: onTransact, SCHEDULE_STOP_ACTIVITY_TRANSACTION
01-31 18:31:14.729  2177  2194 I ApplicationThreadNative: onTransact, SCHEDULE_STOP_ACTIVITY_TRANSACTION, done!
01-31 18:31:14.729  2177  2177 V ActivityManagerProxy: enter activityStopped()
01-31 18:31:14.729  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.729  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.739  1832  1921 I ActivityManagerService: checkComponentPermission: , permission: android.permission.MANAGE_NETWORK_POLICY, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.739  1832  1921 I ActivityManagerService: checkComponentPermission: , permission: android.permission.MANAGE_NETWORK_POLICY, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.739  1832  1921 I ActivityManagerService: checkComponentPermission: , permission: android.permission.MANAGE_NETWORK_POLICY, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.739  1832  1921 I ActivityManagerService: checkComponentPermission: , permission: android.permission.MODIFY_NETWORK_ACCOUNTING, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.739  1832  1921 I ActivityManagerService: checkComponentPermission: , permission: android.permission.MANAGE_NETWORK_POLICY, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.749  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.749  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.759  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.759  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.779  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.779  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.789  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.789  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.809  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.809  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.819  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.819  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.839  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.839  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.849  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.849  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.869  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.869  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.879  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.879  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.899  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.899  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.899  1529  2055 I libblt_hw: Library closed (handle = 1, fd = 27)
01-31 18:31:14.899  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.899  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:16.931  1832  1896 I ActivityManagerService: checkComponentPermission: , permission: android.permission.BROADCAST_STICKY, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:16.931  1832  1857 V ApplicationThreadProxy: enter scheduleRegisteredReceiver()
01-31 18:31:16.931  1832  1857 V ApplicationThreadProxy: enter scheduleRegisteredReceiver()
01-31 18:31:16.931  1832  1857 V ApplicationThreadProxy: enter scheduleRegisteredReceiver()
01-31 18:31:16.931  1937  1952 I ApplicationThreadNative: onTransact, SCHEDULE_REGISTERED_RECEIVER_TRANSACTION
01-31 18:31:16.931  1937  1952 I ApplicationThreadNative: onTransact, SCHEDULE_REGISTERED_RECEIVER_TRANSACTION, done!
01-31 18:31:16.931  1937  1952 I ApplicationThreadNative: onTransact, SCHEDULE_REGISTERED_RECEIVER_TRANSACTION
01-31 18:31:16.931  1937  1952 I ApplicationThreadNative: onTransact, SCHEDULE_REGISTERED_RECEIVER_TRANSACTION, done!
01-31 18:31:16.931  2027  2244 I ApplicationThreadNative: onTransact, SCHEDULE_REGISTERED_RECEIVER_TRANSACTION
01-31 18:31:16.931  2027  2244 I ApplicationThreadNative: onTransact, SCHEDULE_REGISTERED_RECEIVER_TRANSACTION, done!
